tipo_celular,module_size,NEMF_MM,NEMF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211,0.094,10.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,624,0.131,31.0,142,3,2.11,4.92 (4.14-5.70),139,97.89,3.17 (2.90-3.44)
astrocytes 5,1141,0.137,60.0,166,20,12.05,2.78 (2.14-3.43),146,87.95,3.49 (3.22-3.76)
oligodendrocyte progenitor cells 7,4285,0.162,87.0,353,44,12.46,2.36 (1.94-2.79),309,87.54,4.17 (3.98-4.35)
GABA neurons expressing GLU receptors 22,714,0.098,7.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,1247,0.078,13.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,265,0.049,1.0,4,1,25.0,2.74 (NA-NA),3,75.0,1.47 (-0.90-3.84)
GABA neurons expressing GABA receptors 13,357,0.09,9.0,237,3,1.27,3.82 (2.48-5.16),234,98.73,4.42 (4.18-4.65)
endothelial cells 9,1653,0.14,60.0,297,3,1.01,4.92 (4.14-5.70),294,98.99,3.66 (3.45-3.86)
oligodendrocytes 20,322,0.155,64.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052,0.067,4.0,125,2,1.6,4.52 (4.52-4.52),123,98.4,3.33 (3.00-3.66)
astrocytes 8,218,0.078,43.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303,0.061,28.0,276,33,11.96,2.54 (2.12-2.96),243,88.04,3.73 (3.49-3.96)
oligodendrocytes 10,2107,0.158,54.0,358,40,11.17,2.36 (1.91-2.81),318,88.83,4.13 (3.93-4.32)
connective tissue cells 21,118,0.186,5.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,1768,0.088,51.0,105,29,27.62,2.49 (1.99-2.99),76,72.38,3.52 (3.11-3.93)
oligodendrocytes 16,61,0.226,64.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,409,0.114,44.0,235,6,2.55,2.09 (1.10-3.07),229,97.45,4.04 (3.79-4.30)
astrocytes microglia 23,255,0.174,5.0,57,3,5.26,2.74 (2.51-2.97),54,94.74,2.65 (2.26-3.03)
astrocytes 4,721,0.146,40.0,61,10,16.39,3.52 (2.88-4.17),51,83.61,2.85 (2.37-3.32)
oligodendrocytes 0,1186,0.148,56.0,300,2,0.67,2.47 (1.67-3.28),298,99.33,3.80 (3.60-4.01)
microglia 1,958,0.102,34.0,290,20,6.9,3.05 (2.54-3.55),270,93.1,3.89 (3.64-4.13)
oligodendrocytes 3,357,0.125,70.0,127,1,0.79,5.72 (NA-NA),126,99.21,3.09 (2.76-3.42)
oligodendrocytes 2,804,0.113,9.0,84,15,17.86,2.63 (1.89-3.36),69,82.14,2.71 (2.33-3.09)
